"hazards","hazards_new"
"Mala Calidad del Aire","Air pollution"
"Maladies d'origine hydrique","Water-borne disease"
"Mareas astronomicas","Astronomical tides"
"Mass movement","Mass movement"
"Neblina","Fog"
"Niebla","Fog"
"""No significant climate-related hazards, please specify why: O municipio e pequeno e as areas sao planas em uma altitude entre 800 a 1000m, o que proporciona um clima ameno durante todas as estacoes""","No significant hazard"
"Nor'easters","Nor'easter"
"Oceanic events","Oceanic events"
"Ola de calor","Heatwave"
"Ola de frio","Cold wave"
"Olas de calor","Heatwave"
"Olas e islas de calor","Heatwave and urban heat island"
"Olas fuertes","Strong waves"
"Other coastal events","Other coastal events"
"Other forms of climate-induced landscape shift/degradation","Landscape degradation"
"""Other, please specify""","Other"
"Pasivos ambientales mineros","Mining environmental liability"
"Peligro biologico","Biological risk"
"Pests and diseases","Pest and disease"
"Poor air quality","Air pollution"
"Public health","Public health"
"Queimadas","Wildfire"
"Radiacion uv","UV radiation"
"Rain storm","Heavy precipitation"
"Rayos / tormenta electrica","Lightning and thunderstorms"
"Rising groundwater","Groundwater flooding"
"Rising groundwater levels","Groundwater flooding"
"Rising groundwater table","Groundwater flooding"
"River and coastal flooding","River and coastal flooding"
"River bank erosion/Land slide","Riverbank erosion and landslide"
"River flooding","River and coastal flooding"
"Salinidad de suelos","Soil salinization"
"Salinization","Soil salinization"
"Salt water intrusion","Saltwater intrusion"
"Saltwater intrusion","Saltwater intrusion"
"Sea level rise","Sea level rise"
"Sea temperature rising","Sea temperature rise"
"Seca","Drought"
"Shifting Ecoregion","Shifting ecoregion"
"Sismos/terremotos (licuefaccion de suelos)","Earthquake"
"Smoke from wildfires","Wildfire smoke"
"Snow and ice","Snow and ice"
"Soil degradation/erosion","Soil degradation"
"Spillover effects","Spillover effects"
"Storm","Storm"
"Storm surge","Storm surge"
"Subsidence","Land subsidence"
"Sudestada","Sudestada"
"Surface water Flooding","Surface water flooding"
"Torbellino","Whirlwind"
"Torment electrica","Thunderstorm"
"Tormenta electrica","Thunderstorm"
"Tormentas electricas","Thunderstorm"
"Tornado","Tornado"
"Tornadoes","Tornado"
"Transportation and storage","Transportation and storage"
"Urban Heat Island","Urban heat island"
"Urban flooding","Urban flooding"
"Water Quality (algal bloom)","Water quality"
"Water stress","Water scarcity"
"Water-borne disease","Water-borne disease"
"Wilder Storms","Storm"
"Winter freeze-thaw","Freeze-thaw cycle"
"""biological hazard, insect infestation""","Pest infestation"
"flora & fauna disease and INNS (Invasive Non-Native Species)","Invasive species"
"geughan gihusasangeuro inhan gibansiseolyi banbogjeog pihae ganeungseong jeungga","Infrastructure damage"
"""hongsu, taepung deungeuro inhan suhae balsaeng jeungga""","Flood and typhoon"
"jaehaeyi daegyumohwaro inhayeo jeunggadoeneun sahoe gyeongjejeog pihaeaeg jeungga","Socioeconomic impact"
"misemeonji","Air pollution"
"pogyeom","Fog"
